"","Indx","Call_ContractID","Call_Bid","Call_Ask","Call_Vol","Call_OI","Call_PrChg","Call_PrChgPct","Call_LastTrTime","Call_LastPr","Call_ImplVol","Call_ITM","Strike","Put_ITM","Put_ImplVol","Put_LastPr","Put_LastTrTime","Put_PrChgPct","Put_PrChg","Put_OI","Put_Vol","Put_Ask","Put_Bid","Put_ContractID"
"225",225,"SPXW230616C04255000",62.3,63.7,36,60,0,0,2023-04-12 12:28:12,60.1,0.162186417770386,FALSE,4255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",226,"SPXW230616C04260000",60.1,61.5,48,141,-11.620003,-17.63278,2023-04-14 15:13:16,54.28,0.16126899225235,FALSE,4260,TRUE,0.10479868598938,158.9,2023-04-14 15:25:50,-3.5215564,-5.800003,67,11,149.8,146.6,"SPXW230616P04260000"
"227",227,"SPX230616C04265000",57.3,58.7,26,327,9.399998,20.796455,2023-04-14 15:50:03,54.6,0.159329238090515,FALSE,4265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",228,"SPXW230616C04270000",55.8,57.2,2,354,-14.889999,-24.211382,2023-04-14 13:39:13,46.61,0.15939980928421,FALSE,4270,TRUE,0.100396569366455,172.4,2023-04-14 13:53:07,8.701127,13.799988,83,7,155.1,152.7,"SPXW230616P04270000"
"229",229,"SPX230616C04275000",53.2,54.5,37,8278,-12.09,-20.34326,2023-04-14 15:15:01,47.34,0.157471499099731,FALSE,4275,TRUE,0.0985807916259766,167.7,2023-04-14 10:28:08,-5.680543,-10.100006,122,4,158.1,155.6,"SPXW230616P04275000"
"230",230,"SPXW230616C04280000",51.8,53.2,22,185,6.2699966,14.989233,2023-04-14 15:36:33,48.1,0.157753783874512,FALSE,4280,TRUE,0.0963759186553955,172.8,2023-04-14 10:56:05,-5.573769,-10.199997,50,11,161,158.3,"SPXW230616P04280000"
"231",231,"SPXW230616C04290000",48,49.3,27,245,0,0,2023-04-12 12:17:44,46.2,0.156010484657288,FALSE,4290,TRUE,0.0918898795318603,177.3,2023-04-14 10:44:13,-2.528857,-4.599991,50,3,167.1,164.6,"SPXW230616P04290000"
"232",232,"SPXW230616C04300000",44.3,45.6,109,389,-6.66,-13.647541,2023-04-14 15:42:26,42.14,0.154326312656403,FALSE,4300,TRUE,0.0877433450698853,177.28,2023-04-14 15:59:07,0.45900014,0.80999756,6836,4,173.8,169.7,"SPX230616P04300000"
"233",233,"SPX230616C04310000",40.3,41.6,58,1178,-6.800003,-14.97798,2023-04-14 15:56:04,38.6,0.151829618263245,FALSE,4310,TRUE,0.0820099124145508,181.97,2023-04-13 15:17:30,0,0,10,1,180.4,176.1,"SPX230616P04310000"
"234",234,"SPXW230616C04320000",37.6,39,19,371,-10.149998,-23.995266,2023-04-14 13:41:55,32.15,0.151522538204193,FALSE,4320,TRUE,0.0742814130401611,209.83,2023-04-14 13:36:37,11.712719,22,8,3,187.1,182.8,"SPX230616P04320000"
